likes,status,text
0,0,"Здравствуйте дорогие наши гости! Мы надеемся, что Вы всегда довольны нашими предложениями и нашей кухней! Мы стараемся радовать Вас каждый день!  Оставляйте здесь свои отзывы : о качестве нашей продукции, о качестве наших блюд, о том , какой из магазинов нашей сети понравился вам больше .  Для подтверждения достоверности отзыва указывайте номер чека  или номер телефона, на который Вы оформляли заказ. НЕПОДТВЕРЖДЕННЫЕ ОТЗЫВЫ БУДУТ УДАЛЕНЫ.  Мы искренне надеемся, что все отзывы в наш адрес будут положительными. Но даже если в какой то момент, вам захотелось связаться с нами и поделиться своими впечатлениями   пишите здесь! Мы обязательно учтем все Ваши пожелания!  С Уважением,  Суши Wok "
10,0,Здравствуйте .очень довольны всей продукцией в частности от наборов по супер низкой цене и замечательное качество и отличный внешний вид роллов.  очень довольны быстрой доставкой)) Хочу выразить лишь одно недовольство у вас очень не удобный сайт.куча  окон из за которых нормально просмотреть меню не возможно приходиться звонить и спрашивать у ваших сотрудников
2,2,"Уважаемая Анастасия Иванова! Мы очень рады,что Вы остались довольны нашей продукцией! Мы и впредь будем стараться радовать Вас отличным качеством и нашей работой в целом! Наш сайт сейчас дорабатывается,для того чтобы Вам впредь было удобнее пользоваться им!  С Уважением, Суши Wok!"
3,0,спасибо))и еще в группе в меню под фото нет ни названий ни цен...напишите пожалуйста
1,2,Анастасия Иванова  вся информация добавлена!
3,0,ЗДОРОВО!!спасибо))))
65,0,"если бы все было такое как на картинке...самое интересное что тот набор за 299 р. все уместилось в 1 коробку так еще и места было достаточно...роллы с огурцом подарите мне микроскоп, чтобы их найти..несмотря на то что магазин в шаговой доступности от моего дома больше туда не пойду...повара тоже удивили... хотя наверно эта одна их тех групп где критику подтирают"
2,2,"Уважаемая Любовь Григорьева! Стандартный вес блюда  Ролл с огурцом  113гр. Просим ответить в личку в каком магазине была совершена покупка и есть ли еще какие либо моменты, которые вас смутили.  Мы постараемся решить эти проблемы, чтобы в дальнейшем радовать вас своими блюдами! С Уважением, Суши Wok!"
4,0,"но не в том помятом виде какой он был в коробочке. как то совсем микроскопично, очень отличаются от суш других кафе. Кафе магазин на наличной"
2,2,"Любовь Григорьева  спасибо,постараемся разрешить эту ситуацию."
0,0,Огромное спасибо! Все было очень вкусно!
0,0,"Спасибо Настасья Силавс! мы рады что вам все понравилось! С Уважением, Суши Wok"
0,0,обалденные суши у вас свежие и очень вкусные!!спасибо Вам.так держать!!теперь будем только у вас покупать...жаль что доставки на дом нет(
1,0,как нет?) я постоянно на дом заказываю..по карте доставка всего 50р.!))) и доставка всего 30мн.))))вообще улет)
1,0,Доставка только в пешей доступности.
0,2,Анастасия Иванова права.только в пешей доступности
3,0,"Очень рада ,что появились такие магазины ))) в ресторанах дорого и не дождаться((( А самое главное очень вкусно и все очень свежее))) повара на науке 12. отличные)))"
2,0,"Здравствуйте!А при покупке ото 500руб. Филадельфия в подарок действует во всех магазинах???Или в праздники эта акция не проходит????8 марта с ребенком зашли в магазин Вашей фирмы накупили в гости ролов,а Филидельфию в подарок нам так и не дали!"
0,0,"Здравствуйте. Скажите пожалуйста мы на Индустриальном,8.03 купили роллов на 700 рублей но филадельфию нам не дали в подарок сказали что праздничный день и акция не действует хотя об этом ни где не говорится. И готовили полтора часа... На Среднеохтинском такого не было обслуживание там лучше..."
29,2,"Юлия Зайцева  спасибо Вам большое, мы рады что все понравилось!) ИРЕНКА ПУСЯ, Екатерина Гусева  акция филадельфия в подарок действует при покупке от 700 рублей и в праздничные дни она не действует. Приносим извинения за не актуальную информацию.Обязательно исправим информацию по акциям в ближайшее время!"
